State,Pending Cases,year
New Hampshire,,2006
North Dakota,,2006
Oklahoma,,2006
California,44589.0,2007
New York,23195.0,2007
Florida,22909.0,2007
Texas,8184.0,2007
Massachusetts,7078.0,2007
Virginia,5341.0,2007
Maryland,4406.0,2007
Illinois,4045.0,2007
Georgia,4037.0,2007
New Jersey,3500.0,2007
Ohio,3397.0,2007
Colorado,3047.0,2007
Michigan,2622.0,2007
Pennsylvania,2569.0,2007
Arizona,2545.0,2007
Nebraska,2300.0,2007
Washington,2291.0,2007
Missouri,1876.0,2007
Tennessee,1423.0,2007
Minnesota,1352.0,2007
Connecticut,1073.0,2007
Nevada,934.0,2007
Puerto Rico,921.0,2007
Utah,846.0,2007
Oregon,832.0,2007
Louisiana,533.0,2007
Hawaii,312.0,2007
Guam,21.0,2007
North Carolina,3.0,2007
Montana,,2007
New Hampshire,,2007
North Dakota,,2007
Oklahoma,,2007
Rhode Island,,2007
Alabama,,2007
South Carolina,,2007
Alaska,,2007
South Dakota,,2007
Arkansas,,2007
US Virgin Islands,,2007
Delaware,,2007
Vermont,,2007
District of Columbia,,2007
West Virginia,,2007
Idaho,,2007
Wisconsin,,2007
Indiana,,2007
Wyoming,,2007
Iowa,,2007
Kansas,,2007
Maine,,2007
Mississippi,,2007
California,48140.0,2008
New York,26699.0,2008
Florida,16949.0,2008
Texas,9783.0,2008
Massachusetts,6684.0,2008
Virginia,6436.0,2008
Georgia,5146.0,2008
Illinois,4610.0,2008
Maryland,4422.0,2008
New Jersey,4101.0,2008
Colorado,3869.0,2008
Arizona,3861.0,2008
Ohio,3086.0,2008
Pennsylvania,3030.0,2008
Washington,2889.0,2008
Nebraska,2778.0,2008
Missouri,2262.0,2008
Michigan,2159.0,2008
Tennessee,1974.0,2008
Minnesota,1590.0,2008
North Carolina,1082.0,2008
Oregon,1011.0,2008
Nevada,922.0,2008
Connecticut,880.0,2008
Utah,845.0,2008
Puerto Rico,818.0,2008
Louisiana,575.0,2008
Hawaii,451.0,2008
Guam,75.0,2008
Montana,,2008
New Hampshire,,2008
North Dakota,,2008
Oklahoma,,2008
Rhode Island,,2008
Alabama,,2008
South Carolina,,2008
Alaska,,2008
South Dakota,,2008
Arkansas,,2008
US Virgin Islands,,2008
Delaware,,2008
Vermont,,2008
District of Columbia,,2008
West Virginia,,2008
Idaho,,2008
Wisconsin,,2008
Indiana,,2008
Wyoming,,2008
Iowa,,2008
Kansas,,2008
Maine,,2008
Mississippi,,2008
California,53147.0,2009
New York,33843.0,2009
Florida,16195.0,2009
Texas,14717.0,2009
Massachusetts,7479.0,2009
Illinois,6958.0,2009
Virginia,6949.0,2009
New Jersey,6072.0,2009
Georgia,5803.0,2009
Arizona,5570.0,2009
Colorado,5180.0,2009
Maryland,4813.0,2009
Pennsylvania,3763.0,2009
North Carolina,3377.0,2009
Washington,3197.0,2009
Missouri,3192.0,2009
Tennessee,3176.0,2009
Nebraska,3096.0,2009
Ohio,3062.0,2009
Michigan,2173.0,2009
Minnesota,2043.0,2009
Oregon,1569.0,2009
Puerto Rico,1229.0,2009
Connecticut,1122.0,2009
Louisiana,1056.0,2009
Nevada,1004.0,2009
Utah,932.0,2009
Hawaii,532.0,2009
Guam,84.0,2009
Delaware,,2009
Vermont,,2009
District of Columbia,,2009
West Virginia,,2009
Idaho,,2009
Wisconsin,,2009
Indiana,,2009
Wyoming,,2009
Iowa,,2009
Kansas,,2009
Maine,,2009
Mississippi,,2009
Montana,,2009
New Hampshire,,2009
North Dakota,,2009
Oklahoma,,2009
Rhode Island,,2009
Alabama,,2009
South Carolina,,2009
Alaska,,2009
South Dakota,,2009
Arkansas,,2009
US Virgin Islands,,2009
California,57658.0,2010
New York,39478.0,2010
Texas,23528.0,2010
Florida,13239.0,2010
Illinois,11671.0,2010
Massachusetts,7951.0,2010
Arizona,7927.0,2010
New Jersey,7537.0,2010
Virginia,7331.0,2010
Colorado,6654.0,2010
Georgia,6393.0,2010
Maryland,5486.0,2010
Pennsylvania,4441.0,2010
Washington,4416.0,2010
Tennessee,4165.0,2010
Nebraska,3651.0,2010
North Carolina,3540.0,2010
Missouri,3523.0,2010
Ohio,3413.0,2010
Michigan,2301.0,2010
Minnesota,2286.0,2010
Oregon,2259.0,2010
Louisiana,1845.0,2010
Nevada,1836.0,2010
Connecticut,1269.0,2010
Utah,1080.0,2010
Puerto Rico,920.0,2010
Hawaii,490.0,2010
Guam,82.0,2010
Iowa,,2010
Kansas,,2010
Maine,,2010
Mississippi,,2010
Montana,,2010
New Hampshire,,2010
North Dakota,,2010
Oklahoma,,2010
Rhode Island,,2010
Alabama,,2010
South Carolina,,2010
Alaska,,2010
South Dakota,,2010
Arkansas,,2010
US Virgin Islands,,2010
Delaware,,2010
Vermont,,2010
District of Columbia,,2010
West Virginia,,2010
Idaho,,2010
Wisconsin,,2010
Indiana,,2010
Wyoming,,2010
California,65912.0,2011
New York,43395.0,2011
Texas,30241.0,2011
Illinois,14871.0,2011
Florida,13033.0,2011
Arizona,10886.0,2011
New Jersey,9267.0,2011
Massachusetts,8498.0,2011
Virginia,7816.0,2011
Colorado,7488.0,2011
Georgia,6454.0,2011
Washington,5285.0,2011
Tennessee,5062.0,2011
Maryland,4992.0,2011
Pennsylvania,4640.0,2011
Nebraska,4638.0,2011
North Carolina,3773.0,2011
Missouri,3557.0,2011
Ohio,3552.0,2011
Oregon,2840.0,2011
Louisiana,2666.0,2011
Michigan,2662.0,2011
Minnesota,2633.0,2011
Nevada,2567.0,2011
Connecticut,1255.0,2011
Utah,1045.0,2011
Puerto Rico,677.0,2011
Hawaii,287.0,2011
Guam,97.0,2011
Iowa,,2011
Kansas,,2011
Maine,,2011
Mississippi,,2011
Montana,,2011
New Hampshire,,2011
North Dakota,,2011
Oklahoma,,2011
Rhode Island,,2011
Alabama,,2011
South Carolina,,2011
Alaska,,2011
South Dakota,,2011
Arkansas,,2011
US Virgin Islands,,2011
Delaware,,2011
Vermont,,2011
District of Columbia,,2011
West Virginia,,2011
Idaho,,2011
Wisconsin,,2011
Indiana,,2011
Wyoming,,2011
California,72149.0,2012
New York,44682.0,2012
Texas,35939.0,2012
Illinois,16996.0,2012
Florida,13705.0,2012
Arizona,12895.0,2012
New Jersey,10890.0,2012
Virginia,9152.0,2012
Massachusetts,8650.0,2012
Georgia,8575.0,2012
Colorado,7373.0,2012
Tennessee,5707.0,2012
Washington,5306.0,2012
Nebraska,5285.0,2012
Maryland,4755.0,2012
Pennsylvania,4488.0,2012
North Carolina,4216.0,2012
Ohio,4069.0,2012
Louisiana,3777.0,2012
Missouri,3497.0,2012
Nevada,3107.0,2012
Minnesota,2846.0,2012
Oregon,2657.0,2012
Michigan,2500.0,2012
Connecticut,1220.0,2012
Utah,1131.0,2012
Puerto Rico,345.0,2012
Hawaii,125.0,2012
Guam,79.0,2012
Oklahoma,,2012
Rhode Island,,2012
Alabama,,2012
South Carolina,,2012
Alaska,,2012
South Dakota,,2012
Arkansas,,2012
US Virgin Islands,,2012
Delaware,,2012
Vermont,,2012
District of Columbia,,2012
West Virginia,,2012
Idaho,,2012
Wisconsin,,2012
Indiana,,2012
Wyoming,,2012
Iowa,,2012
Kansas,,2012
Maine,,2012
Mississippi,,2012
Montana,,2012
New Hampshire,,2012
North Dakota,,2012
California,70664.0,2013
New York,47544.0,2013
Texas,45034.0,2013
Illinois,17008.0,2013
Florida,15288.0,2013
Arizona,14406.0,2013
New Jersey,12915.0,2013
Virginia,12082.0,2013
Georgia,9903.0,2013
Massachusetts,8178.0,2013
Colorado,7082.0,2013
Tennessee,6075.0,2013
Louisiana,5208.0,2013
Nebraska,5018.0,2013
Washington,4913.0,2013
Maryland,4908.0,2013
Ohio,4561.0,2013
Pennsylvania,4508.0,2013
North Carolina,3717.0,2013
Nevada,3313.0,2013
Missouri,3139.0,2013
Michigan,2874.0,2013
Minnesota,2694.0,2013
Oregon,2481.0,2013
Connecticut,1397.0,2013
Utah,1220.0,2013
Puerto Rico,166.0,2013
Hawaii,72.0,2013
Guam,27.0,2013
Indiana,,2013
Wyoming,,2013
Iowa,,2013
Kansas,,2013
Maine,,2013
Mississippi,,2013
Montana,,2013
New Hampshire,,2013
North Dakota,,2013
Oklahoma,,2013
Rhode Island,,2013
Alabama,,2013
South Carolina,,2013
Alaska,,2013
South Dakota,,2013
Arkansas,,2013
US Virgin Islands,,2013
Delaware,,2013
Vermont,,2013
District of Columbia,,2013
West Virginia,,2013
Idaho,,2013
Wisconsin,,2013
California,75856.0,2014
Texas,67855.0,2014
New York,55605.0,2014
Florida,18877.0,2014
New Jersey,17865.0,2014
Illinois,17125.0,2014
Virginia,16186.0,2014
Arizona,12884.0,2014
Georgia,12593.0,2014
Massachusetts,9988.0,2014
Colorado,7612.0,2014
Louisiana,7359.0,2014
Maryland,7302.0,2014
Tennessee,7287.0,2014
Ohio,5149.0,2014
Pennsylvania,5097.0,2014
Washington,5004.0,2014
Nebraska,4980.0,2014
North Carolina,4476.0,2014
Nevada,3566.0,2014
Michigan,3517.0,2014
Missouri,3516.0,2014
Minnesota,2850.0,2014
Oregon,2321.0,2014
Connecticut,1917.0,2014
Utah,1524.0,2014
Puerto Rico,196.0,2014
Hawaii,120.0,2014
Guam,9.0,2014
Oklahoma,,2014
Rhode Island,,2014
Alabama,,2014
South Carolina,,2014
Alaska,,2014
South Dakota,,2014
Arkansas,,2014
US Virgin Islands,,2014
Delaware,,2014
Vermont,,2014
District of Columbia,,2014
West Virginia,,2014
Idaho,,2014
Wisconsin,,2014
Indiana,,2014
Wyoming,,2014
Iowa,,2014
Kansas,,2014
Maine,,2014
Mississippi,,2014
Montana,,2014
New Hampshire,,2014
North Dakota,,2014
California,81526.0,2015
Texas,73997.0,2015
New York,61757.0,2015
New Jersey,22726.0,2015
Florida,22488.0,2015
Virginia,21688.0,2015
Illinois,18345.0,2015
Georgia,12272.0,2015
Massachusetts,11947.0,2015
Maryland,11759.0,2015
Arizona,11319.0,2015
Tennessee,9196.0,2015
Colorado,8446.0,2015
Louisiana,7324.0,2015
Washington,7034.0,2015
Ohio,5672.0,2015
Pennsylvania,5524.0,2015
North Carolina,5112.0,2015
Nebraska,5030.0,2015
Missouri,4109.0,2015
Nevada,3687.0,2015
Michigan,3570.0,2015
Minnesota,3194.0,2015
Oregon,2856.0,2015
Connecticut,1876.0,2015
Utah,1398.0,2015
Hawaii,237.0,2015
Puerto Rico,144.0,2015
Guam,3.0,2015
Montana,,2015
New Hampshire,,2015
North Dakota,,2015
Oklahoma,,2015
Rhode Island,,2015
Alabama,,2015
South Carolina,,2015
Alaska,,2015
South Dakota,,2015
Arkansas,,2015
US Virgin Islands,,2015
Delaware,,2015
Vermont,,2015
District of Columbia,,2015
West Virginia,,2015
Idaho,,2015
Wisconsin,,2015
Indiana,,2015
Wyoming,,2015
Iowa,,2015
Kansas,,2015
Maine,,2015
Mississippi,,2015
California,88014.0,2016
Texas,86715.0,2016
New York,65975.0,2016
Florida,28374.0,2016
Virginia,28221.0,2016
New Jersey,25982.0,2016
Illinois,21674.0,2016
Maryland,16603.0,2016
Massachusetts,14338.0,2016
Georgia,13095.0,2016
Tennessee,10674.0,2016
Colorado,9911.0,2016
Arizona,9424.0,2016
Washington,7747.0,2016
Louisiana,7283.0,2016
Pennsylvania,6539.0,2016
North Carolina,6313.0,2016
Nebraska,6161.0,2016
Ohio,5919.0,2016
Missouri,4791.0,2016
Minnesota,3983.0,2016
Oregon,3474.0,2016
Michigan,3438.0,2016
Nevada,3234.0,2016
Connecticut,2279.0,2016
Utah,1893.0,2016
Hawaii,456.0,2016
Puerto Rico,61.0,2016
Guam,2.0,2016
Montana,,2016
New Hampshire,,2016
North Dakota,,2016
Oklahoma,,2016
Rhode Island,,2016
Alabama,,2016
South Carolina,,2016
Alaska,,2016
South Dakota,,2016
Arkansas,,2016
US Virgin Islands,,2016
Delaware,,2016
Vermont,,2016
District of Columbia,,2016
West Virginia,,2016
Idaho,,2016
Wisconsin,,2016
Indiana,,2016
Wyoming,,2016
Iowa,,2016
Kansas,,2016
Maine,,2016
Mississippi,,2016
California,111394.0,2017
Texas,93591.0,2017
New York,81393.0,2017
Florida,38520.0,2017
Virginia,34673.0,2017
New Jersey,32013.0,2017
Maryland,25263.0,2017
Illinois,23738.0,2017
Massachusetts,20237.0,2017
Georgia,18078.0,2017
Tennessee,14797.0,2017
North Carolina,11135.0,2017
Colorado,10284.0,2017
Pennsylvania,9220.0,2017
Washington,8968.0,2017
Arizona,8361.0,2017
Nebraska,8170.0,2017
Louisiana,8144.0,2017
Ohio,7389.0,2017
Missouri,5953.0,2017
Minnesota,5590.0,2017
Michigan,3883.0,2017
Oregon,3800.0,2017
Connecticut,3672.0,2017
Nevada,3287.0,2017
Utah,2427.0,2017
Hawaii,562.0,2017
Puerto Rico,183.0,2017
New Mexico,134.0,2017
Guam,3.0,2017
Arkansas,,2017
US Virgin Islands,,2017
Delaware,,2017
Vermont,,2017
District of Columbia,,2017
West Virginia,,2017
Idaho,,2017
Wisconsin,,2017
Indiana,,2017
Wyoming,,2017
Iowa,,2017
Kansas,,2017
Maine,,2017
Mississippi,,2017
Montana,,2017
New Hampshire,,2017
North Dakota,,2017
Oklahoma,,2017
Rhode Island,,2017
Alabama,,2017
South Carolina,,2017
Alaska,,2017
South Dakota,,2017
California,135957.0,2018
Texas,107840.0,2018
New York,99679.0,2018
Florida,49748.0,2018
Virginia,41969.0,2018
New Jersey,40953.0,2018
Maryland,33397.0,2018
Illinois,27553.0,2018
Massachusetts,26571.0,2018
Georgia,24120.0,2018
North Carolina,15487.0,2018
Pennsylvania,13915.0,2018
Tennessee,13107.0,2018
Colorado,11734.0,2018
Louisiana,11034.0,2018
Washington,10666.0,2018
Nebraska,10239.0,2018
Ohio,9529.0,2018
Arizona,9132.0,2018
Missouri,8047.0,2018
Minnesota,7516.0,2018
Oregon,5122.0,2018
Connecticut,5010.0,2018
Kentucky,4904.0,2018
Michigan,4723.0,2018
Nevada,4025.0,2018
Utah,2553.0,2018
New Mexico,398.0,2018
Hawaii,389.0,2018
Puerto Rico,248.0,2018
Guam,21.0,2018
Idaho,,2018
Wisconsin,,2018
Indiana,,2018
Wyoming,,2018
Iowa,,2018
Kansas,,2018
Maine,,2018
Mississippi,,2018
Montana,,2018
New Hampshire,,2018
North Dakota,,2018
Oklahoma,,2018
Rhode Island,,2018
Alabama,,2018
South Carolina,,2018
Alaska,,2018
South Dakota,,2018
Arkansas,,2018
US Virgin Islands,,2018
Delaware,,2018
Vermont,,2018
District of Columbia,,2018
West Virginia,,2018
California,170027.0,2019
Texas,161497.0,2019
New York,120310.0,2019
Florida,79767.0,2019
New Jersey,51422.0,2019
Virginia,45426.0,2019
Illinois,42257.0,2019
Maryland,37183.0,2019
Georgia,34097.0,2019
Massachusetts,33238.0,2019
Tennessee,21883.0,2019
North Carolina,21225.0,2019
Pennsylvania,20378.0,2019
Louisiana,19177.0,2019
Colorado,14509.0,2019
Arizona,14257.0,2019
Nebraska,13993.0,2019
Washington,13281.0,2019
Minnesota,13118.0,2019
Ohio,12796.0,2019
Missouri,11904.0,2019
Connecticut,7051.0,2019
Nevada,6860.0,2019
Oregon,6662.0,2019
Kentucky,6487.0,2019
Michigan,5893.0,2019
Utah,3770.0,2019
New Mexico,845.0,2019
Puerto Rico,777.0,2019
Hawaii,198.0,2019
Guam,26.0,2019
New Hampshire,,2019
North Dakota,,2019
Oklahoma,,2019
Rhode Island,,2019
Alabama,,2019
South Carolina,,2019
Alaska,,2019
South Dakota,,2019
Arkansas,,2019
US Virgin Islands,,2019
Delaware,,2019
Vermont,,2019
District of Columbia,,2019
West Virginia,,2019
Idaho,,2019
Wisconsin,,2019
Indiana,,2019
Wyoming,,2019
Iowa,,2019
Kansas,,2019
Maine,,2019
Mississippi,,2019
Montana,,2019
